OBJECTID,ID,ID_Pt1,ID_Pt2,Name,Type,Roof,OpeningHours,Width,Distance,Wheelchair,Babycar,NumberOfStairs,Capacity,Readtime,Image_URL,FloorLevel,X,Y,Z,UUID,UUID_Pt1,UUID_Pt2,Note
8,,,,マークシティ（下り）,escalator,Yes,,2,,No,Limited,,,23,,2,,,,,,,２Fから３Fを結ぶ。上下あり
7,007,,,出口（上り）,escalator,Yes,,,,No,Limited,,,35,,1,,,,,,,1F-2F
9,,,,MARKCITY 入口,stair,Yes,,4,,No,No,34,,,,,,,,,,,2Fから3Fを結ぶ
10,,,,上りエスカレーター,escalator,,,2,,No,Limited,,,17,,2,,,,,,,２Fから3Fを結ぶ
12,,,,階段,stair,,,,,,,,,,,2,,,,,,,東急百貨店方面
13,,,,上り,escalator,,,,,,,,,,,,,,,,,,東急百貨店から上り
14,,,,ハチ公方面,slope,Yes,,5,23,Yes,Yes,,,,,2,,,,,,,2F（京王井の頭線）から1.5F（JR）を結ぶ
17,,,,マークシティから銀座線,slope,Yes,,4,40,Yes,Yes,,,,,3,,,,,,,
22,,,,マークシティ（上り）,escalator,,,2,,No,Limited,,,23,,,,,,,,,
20,,,1.5F-1F,ハチ公前出口,stair,Yes,,4,,No,Limited,33,,,,105,,,,,,,1.5Fから1Fを結ぶ
19,,,,MARC CITY エレベータ,elevator,Yes,,,,Yes,Yes,,11,12,,,,,,,,,
24,,,,,pass,,,12,10,Yes,Yes,,,,,2,,,,,,,
21,,,,出口（下り）,escalator,Yes,,2,,No,Limited,,,35,,2,,,,,,,2F-1F
25,,,,,pass,Yes,,12,40,Yes,Yes,,,,,2,,,,,,,
27,,,,,pass,Yes,,6,5,Yes,Yes,,,,,2,,,,,,,
26,,,,,pass,Yes,,6,5,Yes,Yes,,,,,2,,,,,,,
28,,,,,pass,,,7,7,Yes,Yes,,,,,2,,,,,,,
30,,,,,pass,Yes,,12,8,Yes,Yes,,,,,2,,,,,,,
34,,,,,pass,,,6,7,Yes,Yes,,,,,2,,,,,,,
29,,,,,pass,,,7,7,Yes,Yes,,,,,2,,,,,,,
32,,,,,pass,Yes,,4,14,Yes,Yes,,,,,2,,,,,,,
35,,,,,pass,Yes,,6,6,Yes,Yes,,,,,2,,,,,,,
36,,,,,pass,Yes,,5,15,Yes,Yes,,,,,105,,,,,,,1.5F
39,,,,,pass,Yes,,4,4,Yes,Yes,,,,,105,,,,,,,1.5F
31,,,,,pass,,,4,14,Yes,Yes,,,,,2,,,,,,,
41,,,,,pass,Yes,,4,5,Yes,Yes,,,,,105,,,,,,,1.5F
42,,,,,pass,Yes,,4,10,Yes,Yes,,,,,105,,,,,,,1.5F
43,,,,,pass,,,,,,,,,,,105,,,,,,,
45,,,,,pass,Yes,,7,7,Yes,Yes,,,,,2,,,,,,,
44,,,,,pass,,,,,,,,,,,105,,,,,,,
46,,,,,pass,Yes,,7,7,Yes,Yes,,,,,2,,,,,,,
48,,,,,pass,,,2,5,Yes,Yes,,,,,3,,,,,,,
47,,,,,pass,,,,,,,,,,,2,,,,,,,
49,,,,,pass,,,2,15,Yes,Yes,,,,,3,,,,,,,
51,,,,3F,pass,,,,,,,,,,,,,,,,,,
55,,,,,pass,,,,,,,,,,,,,,,,,,
56,,,,,pass,,,,,,,,,,,,,,,,,,
54,,,,,pass,Yes,,4,10,Yes,Yes,,,,,,,,,,,,
57,,,,,stair,,,4,,No,Limited,21,,,,2,,,,,,,
60,,,,下り,escalator,Yes,,1,,No,Limited,,,22,,3,,,,,,,2F-3F
61,,,,上り,escalator,Yes,,1,,No,Limited,,,22,,3,,,,,,,2F-3F
67,,,,,pass,,,5,20,Yes,Yes,,,,,3,,,,,,,
68,,,,,pass,Yes,,5,23,Yes,Yes,,,,,3,,,,,,,3F-1.5F
69,,,,階段,stair,Yes,,4,,No,Limited,22,,,,,,,,,,,
70,,,,,pass,Yes,,4,22,Yes,Yes,,,,,105,,,,,,,1.5F
72,,,,,pass,,,4,12,Yes,Yes,,,,,3,,,,,,,
73,,,,,pass,Yes,,4,12,Yes,Yes,,,,,3,,,,,,,
74,,,,,pass,Yes,,3,4,Yes,Yes,,,,,3,,,,,,,
76,,,,2F-1F,stair,Yes,,6,,No,Limited,51,,,,2,,,,,,,2F-1F
75,,,,,pass,Yes,,3,4,Yes,Yes,,,,,3,,,,,,,
77,,,,上り,escalator,Yes,,,,No,Limited,,,42,,1,,,,,,,2F-1F
